Class Name,Community,Rural Or Urban,Batch,District,Self Selected,Enrolled,Status
JILIG  CHINTINLONG  NO. 2,JILIG  CHINTINLONG  NO. 2,Rural,Batch 5,Bunkpurugu-Nakpanduri,68,68,Formation
BONGO DA PWD cluster A,Ayelbia,Rural,Batch 6 (PWD),Bongo,7,7,Planning
PUSIGA DA PWD cluster B,Gareke,Rural,Batch 6 (PWD),Pusiga,6,6,Enrolment
BUNKPURUGU DA PWD cluster A,Kpentaug,Rural,Batch 6 (PWD),Bunkpurugu-Nakpanduri,13,9,Planning
NABDAM DA PWD cluster B,Kparipii/Yakote,Rural,Batch 6 (PWD),Nabdam,6,6,Enrolment
ZEMASAH,ZEMASAH,Rural,Batch 5,Bawku Municipal,122,122,Mentoring
JAGSA-GUUTA,JAGSA-GUUTA,Rural,Batch 5,Builsa South,28,28,Mentoring
NAYINBERUK  NAKPANBAUK,NAYINBERUK  NAKPANBAUK,Rural,Batch 5,Bunkpurugu-Nakpanduri,72,72,Mentoring
KULTISI,KULTISI,Rural,Batch 5,Pusiga,43,43,Mentoring
SEPAART/BUUN,SEPAART/BUUN,Rural,Batch 5,Talensi,25,25,Disbursement
KPALWEGA,KPALWEGA,Rural,Batch 5,Bawku Municipal,172,172,Mentoring
AZUPUPUN GA,AZUPUPUN GA,Rural,Batch 5,Bawku West,44,44,Mentoring
BAGHE,BAGHE,Rural,Batch 5,Tempane,26,26,Mentoring
ARUGBAL,ARUGBAL,Rural,Batch 5,Tempane,64,64,Disbursement
GINBANDE,GINBANDE,Rural,Batch 5,Bawku Municipal,164,164,Disbursement
SUMBRUNGU CLUSTER (B),SUMBRUNGU AGUSI NAYIRE,Urban,Batch 5,Bolgatanga Municipal,149,149,Disbursement
NAVRONGO CLUSTER,KONGWANIA,Urban,Batch 5,Kassena-Nankana Municipal,39,39,Formation
WUSUNGU CLUSTER,UPPER TELANIA,Urban,Batch 5,Kassena-Nankana Municipal,82,82,Formation
JANANIA CLUSTER,JANANIA,Urban,Batch 5,Kassena-Nankana Municipal,117,117,Formation
PAPAYE,PAPAYE,Rural,Batch 5,Chereponi,88,83,Disbursement
BULUGU POYAMIRE,BULUGU POYAMIRE,Rural,Batch 5,Binduri,72,72,Formation
BONGO DA PWD cluster B,Ayelbia,Rural,Batch 6 (PWD),Bongo,2,2,Planning
BUILSA NORTH DA PWD cluster B,Chuchuliga/Awenaguuk,Rural,Batch 6 (PWD),Builsa North,4,4,Enrolment
TALENSI DA PWD cluster A,Gbeogo,Rural,Batch 6 (PWD),Talensi,0,0,Planning
NABDAM DA PWD cluster A,Kparipii/Yakote,Rural,Batch 6 (PWD),Nabdam,5,5,Planning
SABISI CLUSTER,SABISI NYOGISI,Urban,Batch 5,Kassena-Nankana Municipal,0,0,Planning
